file:/home/kai/Desktop/grad_school/marmic/master_thesis/kblumberg_masters_thesis/datastore/build_datastore/cellular_components_bathyal.csvSample2CellularComponentsCount,0,1,1467,0,63,198,0,11891,0,0,0,0,0,8,0,316,0,2,1,3,1,1,1,0,142,14867,0,1,1,6,0,3,0,0,0,406,3,13,0,1,0,7,50,0,0,0,4,1,5,32,0,9,0,7,1
file:/home/kai/Desktop/grad_school/marmic/master_thesis/kblumberg_masters_thesis/datastore/build_datastore/cellular_components_abyssal.csvCellularComponents,http://purl.obolibrary.org/obo/GO_0071203,http://purl.obolibrary.org/obo/GO_0000015,http://purl.obolibrary.org/obo/GO_0030127,http://purl.obolibrary.org/obo/GO_0030130,http://purl.obolibrary.org/obo/GO_0030117,http://purl.obolibrary.org/obo/GO_0005787,http://purl.obolibrary.org/obo/GO_0009346,http://purl.obolibrary.org/obo/GO_0000139,http://purl.obolibrary.org/obo/GO_0005789,http://purl.obolibrary.org/obo/GO_0030131,http://purl.obolibrary.org/obo/GO_0005743,http://purl.obolibrary.org/obo/GO_0015934,http://purl.obolibrary.org/obo/GO_0005740,http://purl.obolibrary.org/obo/GO_0009507,http://purl.obolibrary.org/obo/GO_0005940,http://purl.obolibrary.org/obo/GO_0005737,http://purl.obolibrary.org/obo/GO_0000145,http://purl.obolibrary.org/obo/GO_0005853,http://purl.obolibrary.org/obo/GO_0005852,http://purl.obolibrary.org/obo/GO_0000276,http://purl.obolibrary.org/obo/GO_0005761,http://purl.obolibrary.org/obo/GO_0030176,http://purl.obolibrary.org/obo/GO_0031515,http://purl.obolibrary.org/obo/GO_0048500,http://purl.obolibrary.org/obo/GO_0005747,http://purl.obolibrary.org/obo/GO_0005779,http://purl.obolibrary.org/obo/GO_0030132,http://purl.obolibrary.org/obo/GO_0008250,http://purl.obolibrary.org/obo/GO_0005785,http://purl.obolibrary.org/obo/GO_0030077,http://purl.obolibrary.org/obo/GO_0030173,http://purl.obolibrary.org/obo/GO_0000275,http://purl.obolibrary.org/obo/GO_0031207,http://purl.obolibrary.org/obo/GO_0005739,http://purl.obolibrary.org/obo/GO_0032580,http://purl.obolibrary.org/obo/GO_0005938,http://purl.obolibrary.org/obo/GO_0005840,http://purl.obolibrary.org/obo/GO_0009317,http://purl.obolibrary.org/obo/GO_0005777,http://purl.obolibrary.org/obo/GO_0030126,http://purl.obolibrary.org/obo/GO_0005741,http://purl.obolibrary.org/obo/GO_0005861,http://purl.obolibrary.org/obo/GO_0005751,http://purl.obolibrary.org/obo/GO_0000262,http://purl.obolibrary.org/obo/GO_0005850,http://purl.obolibrary.org/obo/GO_0005763,http://purl.obolibrary.org/obo/GO_0032865,http://purl.obolibrary.org/obo/GO_0005783,http://purl.obolibrary.org/obo/GO_0005786,http://purl.obolibrary.org/obo/GO_0017119,http://purl.obolibrary.org/obo/GO_0005794,http://purl.obolibrary.org/obo/GO_0001669,http://purl.obolibrary.org/obo/GO_0030700,http://purl.obolibrary.org/obo/GO_0042765,http://purl.obolibrary.org/obo/GO_0005742
file:/home/kai/Desktop/grad_school/marmic/master_thesis/kblumberg_masters_thesis/datastore/build_datastore/cellular_components_bathyal.csvCellularComponents,http://purl.obolibrary.org/obo/GO_0005740,http://purl.obolibrary.org/obo/GO_0000139,http://purl.obolibrary.org/obo/GO_0000015,http://purl.obolibrary.org/obo/GO_0005785,http://purl.obolibrary.org/obo/GO_0005850,http://purl.obolibrary.org/obo/GO_0015934,http://purl.obolibrary.org/obo/GO_0000276,http://purl.obolibrary.org/obo/GO_0005737,http://purl.obolibrary.org/obo/GO_0005786,http://purl.obolibrary.org/obo/GO_0005747,http://purl.obolibrary.org/obo/GO_0005751,http://purl.obolibrary.org/obo/GO_0030173,http://purl.obolibrary.org/obo/GO_0005761,http://purl.obolibrary.org/obo/GO_0005783,http://purl.obolibrary.org/obo/GO_0000275,http://purl.obolibrary.org/obo/GO_0009317,http://purl.obolibrary.org/obo/GO_0032865,http://purl.obolibrary.org/obo/GO_0005852,http://purl.obolibrary.org/obo/GO_0042765,http://purl.obolibrary.org/obo/GO_0001669,http://purl.obolibrary.org/obo/GO_0005861,http://purl.obolibrary.org/obo/GO_0030077,http://purl.obolibrary.org/obo/GO_0030126,http://purl.obolibrary.org/obo/GO_0000262,http://purl.obolibrary.org/obo/GO_0031515,http://purl.obolibrary.org/obo/GO_0005840,http://purl.obolibrary.org/obo/GO_0008250,http://purl.obolibrary.org/obo/GO_0009507,http://purl.obolibrary.org/obo/GO_0030176,http://purl.obolibrary.org/obo/GO_0030700,http://purl.obolibrary.org/obo/GO_0071203,http://purl.obolibrary.org/obo/GO_0000145,http://purl.obolibrary.org/obo/GO_0031207,http://purl.obolibrary.org/obo/GO_0030127,http://purl.obolibrary.org/obo/GO_0005787,http://purl.obolibrary.org/obo/GO_0048500,http://purl.obolibrary.org/obo/GO_0030131,http://purl.obolibrary.org/obo/GO_0005777,http://purl.obolibrary.org/obo/GO_0005938,http://purl.obolibrary.org/obo/GO_0005739,http://purl.obolibrary.org/obo/GO_0005779,http://purl.obolibrary.org/obo/GO_0005789,http://purl.obolibrary.org/obo/GO_0005853,http://purl.obolibrary.org/obo/GO_0005940,http://purl.obolibrary.org/obo/GO_0005763,http://purl.obolibrary.org/obo/GO_0030132,http://purl.obolibrary.org/obo/GO_0032580,http://purl.obolibrary.org/obo/GO_0017119,http://purl.obolibrary.org/obo/GO_0005742,http://purl.obolibrary.org/obo/GO_0009346,http://purl.obolibrary.org/obo/GO_0005743,http://purl.obolibrary.org/obo/GO_0030117,http://purl.obolibrary.org/obo/GO_0030130,http://purl.obolibrary.org/obo/GO_0005794,http://purl.obolibrary.org/obo/GO_0005741
file:/home/kai/Desktop/grad_school/marmic/master_thesis/kblumberg_masters_thesis/datastore/build_datastore/cellular_components_abyssal.csvSample2CellularComponentsCount,1,1336,2,0,8,0,30,3,3,1,1,168,0,0,0,10469,2,42,1,1,0,2,74,366,0,1,0,0,1,1,0,0,0,4,2,0,13519,301,6,1,0,0,0,0,51,1,0,8,0,0,5,0,3,2,0
file:/home/kai/Desktop/grad_school/marmic/master_thesis/kblumberg_masters_thesis/datastore/build_datastore/cellular_components_abyssal.csvSample1CellularComponentsCount,1,1186,6,1,33,2,29,3,19,1,5,141,1,1,0,9398,7,35,7,10,1,2,92,334,1,5,1,1,2,4,1,1,1,5,1,4,11845,249,9,5,2,0,1,1,46,0,2,14,4,4,1,2,2,6,6
file:/home/kai/Desktop/grad_school/marmic/master_thesis/kblumberg_masters_thesis/datastore/build_datastore/cellular_components_bathyal.csvSample1CellularComponentsCount,1,1,1189,0,30,130,0,9489,0,0,0,0,0,6,0,230,0,1,0,1,0,0,4,0,59,11552,1,1,0,3,2,1,0,9,0,302,1,12,0,3,2,4,32,2,0,0,0,2,2,22,1,29,0,5,2
