file:/home/kai/Desktop/grad_school/marmic/master_thesis/kblumberg_masters_thesis/datastore/build_datastore/molecular_function_neritic.csvSample4MolecularFunctionCount,16,163,5,174,1,2,143,30383,120,54,15,130,54,10,66,141,596,143,227,1836,29,3,105,78,31,11,88,97,75,651,24,2063,24,41,17,26,364,46,148,5,1,30,56,10,10,578,35,627,98,29,3,4,2085,169,284,2310,57,98,90,5,2,22,194,256,1,53,348,64,13,1,670,94,1049,60,366,344,196,26,10,0,1,0,7213,56,381,15,122,19,67,393,0,0,640,10,32,135,59,4,16,201,448,238,742,28,8,10,2,4,111290,6,98,7,19,0,781,358,13173,715,112
file:/home/kai/Desktop/grad_school/marmic/master_thesis/kblumberg_masters_thesis/datastore/build_datastore/molecular_function_neritic.csvSample1MolecularFunctionCount,10,301,6,362,9,4,317,39589,214,120,11,202,120,29,83,354,1472,244,427,2161,29,6,120,109,53,24,86,140,95,803,42,3285,22,77,23,52,291,70,192,22,0,43,102,9,12,833,50,963,155,22,2,8,2606,290,614,3401,48,206,151,8,4,40,287,481,0,75,506,87,13,1,570,192,1683,52,777,609,273,35,11,1,0,4,7923,41,617,21,236,29,158,520,0,1,844,15,46,275,95,2,17,295,795,440,935,33,17,19,2,10,120776,3,179,10,16,3,1166,371,15983,1134,127
file:/home/kai/Desktop/grad_school/marmic/master_thesis/kblumberg_masters_thesis/datastore/build_datastore/molecular_function_bathyal.csvSample1MolecularFunctionCount,26,2521,88,1,691,27,1113,572,864,1,9,1,24,1,650,300,102,1513,33,860,949,5,1,141,0,613,247,0,3,11445,75,1,383,499,933,584,9,343,9411,34,32,1,82,1514,2271,39,1423,294,1,0,122,6,74,236,619,169,401,128,1915,200,4137,2186,8,2,51,402,0,3,14,116,158,786,809,34,1560,754,4,1,56,360,932,1298,343,372,604,839,1,514,2785,406,782,90495,194,7836,5,3,282,95,858,398,200,0,10101,409,819,2847,2607,28,561,11,102,120,482,1160,953,138
file:/home/kai/Desktop/grad_school/marmic/master_thesis/kblumberg_masters_thesis/datastore/build_datastore/molecular_function_bathyal.csvSample2MolecularFunctionCount,49,3219,124,0,886,24,1681,693,866,1,8,1,28,0,812,401,130,1934,30,1031,1437,1,3,127,1,836,278,0,9,13827,85,0,452,621,1101,679,8,486,11253,41,30,0,110,1580,3018,50,1757,318,1,4,113,6,46,262,948,205,488,157,2539,278,4927,2859,1,0,68,571,1,1,16,206,184,1011,1026,40,2125,1020,2,0,69,473,1136,1838,486,507,612,1157,0,626,3251,531,997,111284,272,10138,7,6,225,112,1129,470,219,1,12266,573,962,3183,3223,35,589,13,107,200,635,1498,1139,168
file:/home/kai/Desktop/grad_school/marmic/master_thesis/kblumberg_masters_thesis/datastore/build_datastore/molecular_function_neritic.csvMolecularFunction,http://purl.obolibrary.org/obo/GO_0003842,http://purl.obolibrary.org/obo/GO_0033743,http://purl.obolibrary.org/obo/GO_0004656,http://purl.obolibrary.org/obo/GO_0004748,http://purl.obolibrary.org/obo/GO_0008774,http://purl.obolibrary.org/obo/GO_0016994,http://purl.obolibrary.org/obo/GO_0003942,http://purl.obolibrary.org/obo/GO_0016491,http://purl.obolibrary.org/obo/GO_0046429,http://purl.obolibrary.org/obo/GO_0004665,http://purl.obolibrary.org/obo/GO_0008121,http://purl.obolibrary.org/obo/GO_0004733,http://purl.obolibrary.org/obo/GO_0008977,http://purl.obolibrary.org/obo/GO_0008115,http://purl.obolibrary.org/obo/GO_0045158,http://purl.obolibrary.org/obo/GO_0004455,http://purl.obolibrary.org/obo/GO_0004784,http://purl.obolibrary.org/obo/GO_0004345,http://purl.obolibrary.org/obo/GO_0004450,http://purl.obolibrary.org/obo/GO_0015002,http://purl.obolibrary.org/obo/GO_0008762,http://purl.obolibrary.org/obo/GO_0004800,http://purl.obolibrary.org/obo/GO_0016708,http://purl.obolibrary.org/obo/GO_0004109,http://purl.obolibrary.org/obo/GO_0004174,http://purl.obolibrary.org/obo/GO_0016671,http://purl.obolibrary.org/obo/GO_0004411,http://purl.obolibrary.org/obo/GO_0018492,http://purl.obolibrary.org/obo/GO_0016714,http://purl.obolibrary.org/obo/GO_0016625,http://purl.obolibrary.org/obo/GO_0004764,http://purl.obolibrary.org/obo/GO_0016616,http://purl.obolibrary.org/obo/GO_0017172,http://purl.obolibrary.org/obo/GO_0008942,http://purl.obolibrary.org/obo/GO_0009916,http://purl.obolibrary.org/obo/GO_0016636,http://purl.obolibrary.org/obo/GO_0004471,http://purl.obolibrary.org/obo/GO_0045300,http://purl.obolibrary.org/obo/GO_0004352,http://purl.obolibrary.org/obo/GO_0010309,http://purl.obolibrary.org/obo/GO_0004506,http://purl.obolibrary.org/obo/GO_0003854,http://purl.obolibrary.org/obo/GO_0008998,http://purl.obolibrary.org/obo/GO_0003997,http://purl.obolibrary.org/obo/GO_0016730,http://purl.obolibrary.org/obo/GO_0016624,http://purl.obolibrary.org/obo/GO_0004146,http://purl.obolibrary.org/obo/GO_0004601,http://purl.obolibrary.org/obo/GO_0016655,http://purl.obolibrary.org/obo/GO_0042279,http://purl.obolibrary.org/obo/GO_0080019,http://purl.obolibrary.org/obo/GO_0008924,http://purl.obolibrary.org/obo/GO_0016627,http://purl.obolibrary.org/obo/GO_0017150,http://purl.obolibrary.org/obo/GO_0016638,http://purl.obolibrary.org/obo/GO_0016620,http://purl.obolibrary.org/obo/GO_0008677,http://purl.obolibrary.org/obo/GO_0004499,http://purl.obolibrary.org/obo/GO_0008883,http://purl.obolibrary.org/obo/GO_0003954,http://purl.obolibrary.org/obo/GO_0016645,http://purl.obolibrary.org/obo/GO_0004392,http://purl.obolibrary.org/obo/GO_0004489,http://purl.obolibrary.org/obo/GO_0015035,http://purl.obolibrary.org/obo/GO_0004097,http://purl.obolibrary.org/obo/GO_0050570,http://purl.obolibrary.org/obo/GO_0008750,http://purl.obolibrary.org/obo/GO_0004367,http://purl.obolibrary.org/obo/GO_0016715,http://purl.obolibrary.org/obo/GO_0016670,http://purl.obolibrary.org/obo/GO_0016903,http://purl.obolibrary.org/obo/GO_0004602,http://purl.obolibrary.org/obo/GO_0016705,http://purl.obolibrary.org/obo/GO_0050485,http://purl.obolibrary.org/obo/GO_0015930,http://purl.obolibrary.org/obo/GO_0004375,http://purl.obolibrary.org/obo/GO_0004488,http://purl.obolibrary.org/obo/GO_0033739,http://purl.obolibrary.org/obo/GO_0016641,http://purl.obolibrary.org/obo/GO_0008901,http://purl.obolibrary.org/obo/GO_0004318,http://purl.obolibrary.org/obo/GO_0030699,http://purl.obolibrary.org/obo/GO_0004129,http://purl.obolibrary.org/obo/GO_0004833,http://purl.obolibrary.org/obo/GO_0004616,http://purl.obolibrary.org/obo/GO_0046422,http://purl.obolibrary.org/obo/GO_0004399,http://purl.obolibrary.org/obo/GO_0008131,http://purl.obolibrary.org/obo/GO_0008839,http://purl.obolibrary.org/obo/GO_0016614,http://purl.obolibrary.org/obo/GO_0019139,http://purl.obolibrary.org/obo/GO_0018576,http://purl.obolibrary.org/obo/GO_0003857,http://purl.obolibrary.org/obo/GO_0043115,http://purl.obolibrary.org/obo/GO_0000334,http://purl.obolibrary.org/obo/GO_0051745,http://purl.obolibrary.org/obo/GO_0008703,http://purl.obolibrary.org/obo/GO_0010277,http://purl.obolibrary.org/obo/GO_0004497,http://purl.obolibrary.org/obo/GO_0018580,http://purl.obolibrary.org/obo/GO_0016901,http://purl.obolibrary.org/obo/GO_0008113,http://purl.obolibrary.org/obo/GO_0003995,http://purl.obolibrary.org/obo/GO_0016702,http://purl.obolibrary.org/obo/GO_0009496,http://purl.obolibrary.org/obo/GO_0003885,http://purl.obolibrary.org/obo/GO_0016717,http://purl.obolibrary.org/obo/GO_0004517,http://purl.obolibrary.org/obo/GO_0045156,http://purl.obolibrary.org/obo/GO_0016706,http://purl.obolibrary.org/obo/GO_0004096,http://purl.obolibrary.org/obo/GO_0016972,http://purl.obolibrary.org/obo/GO_0050113,http://purl.obolibrary.org/obo/GO_0030058,http://purl.obolibrary.org/obo/GO_0008137,http://purl.obolibrary.org/obo/GO_0051920,http://purl.obolibrary.org/obo/GO_0009055,http://purl.obolibrary.org/obo/GO_0016651,http://purl.obolibrary.org/obo/GO_0004420
file:/home/kai/Desktop/grad_school/marmic/master_thesis/kblumberg_masters_thesis/datastore/build_datastore/molecular_function_abyssal.csvSample1MolecularFunctionCount,386,458,2228,3,214,14,13,45,470,1,802,1,84,981,93,5,796,3,5,156,467,1,25,2,29,16,221,46,399,357,196,377,7848,3,730,476,463,1313,22,124,1283,831,839,150,799,206,3,0,358,57,3605,121,783,515,79,2199,2109,791,864,314,1,100,177,171,237,1,66,92,824,653,59,7,6,38,0,25,0,2,2,25,53,0,8902,585,1157,1,341,22,1272,80492,0,2,2,399,884,355,2629,611,1518,1709,450,2206,1370,345,19,1,135,694,8055,94,2239,612,502,1854,1,10110
file:/home/kai/Desktop/grad_school/marmic/master_thesis/kblumberg_masters_thesis/datastore/build_datastore/molecular_function_neritic.csvSample2MolecularFunctionCount,10,138,4,175,8,4,167,32532,118,51,9,116,51,12,28,139,400,147,235,1106,25,7,107,84,29,16,109,180,80,789,28,2332,22,21,22,18,345,38,127,15,0,31,87,8,12,635,32,654,91,33,2,3,2149,172,329,2695,38,182,66,14,0,7,274,285,2,60,352,52,16,0,685,69,1100,47,388,457,235,27,7,2,1,2,6728,41,336,8,173,24,103,431,1,3,710,23,26,114,52,2,20,244,366,206,763,23,4,7,1,6,81635,3,145,7,30,3,638,312,12017,640,110
file:/home/kai/Desktop/grad_school/marmic/master_thesis/kblumberg_masters_thesis/datastore/build_datastore/molecular_function_abyssal.csvSample2MolecularFunctionCount,488,600,2464,4,258,6,8,32,538,5,843,0,112,979,101,7,920,5,0,176,482,3,49,1,40,7,287,57,440,377,185,486,8632,1,879,528,578,1399,29,128,1305,896,874,199,839,280,12,1,410,118,4176,111,794,595,105,2602,2499,914,941,324,0,151,130,201,280,0,39,120,991,751,56,4,6,26,2,19,3,0,3,39,60,0,9980,680,1365,1,449,15,1315,88869,0,0,1,440,1035,344,2959,690,1643,1986,507,2608,1379,413,24,0,215,835,9065,87,2304,722,549,1920,4,11572
file:/home/kai/Desktop/grad_school/marmic/master_thesis/kblumberg_masters_thesis/datastore/build_datastore/molecular_function_neritic.csvSample3MolecularFunctionCount,5,294,1,318,5,4,263,34941,201,99,10,220,99,22,57,261,1225,205,341,1457,52,13,126,72,42,16,75,98,32,780,46,2844,18,48,9,54,268,30,231,22,2,23,72,5,13,770,66,769,120,26,1,11,2629,226,501,2501,67,113,117,9,5,42,243,441,3,63,467,91,2,1,505,135,1555,42,618,571,234,41,11,1,0,4,4958,49,526,8,226,23,124,597,0,8,688,27,32,192,93,2,9,272,818,436,830,12,12,11,3,1,94818,2,94,4,19,3,985,355,11397,921,122
file:/home/kai/Desktop/grad_school/marmic/master_thesis/kblumberg_masters_thesis/datastore/build_datastore/molecular_function_abyssal.csvMolecularFunction,http://purl.obolibrary.org/obo/GO_0004784,http://purl.obolibrary.org/obo/GO_0004450,http://purl.obolibrary.org/obo/GO_0016614,http://purl.obolibrary.org/obo/GO_0008121,http://purl.obolibrary.org/obo/GO_0004833,http://purl.obolibrary.org/obo/GO_0016730,http://purl.obolibrary.org/obo/GO_0018576,http://purl.obolibrary.org/obo/GO_0016994,http://purl.obolibrary.org/obo/GO_0033743,http://purl.obolibrary.org/obo/GO_0004506,http://purl.obolibrary.org/obo/GO_0004399,http://purl.obolibrary.org/obo/GO_0016636,http://purl.obolibrary.org/obo/GO_0003885,http://purl.obolibrary.org/obo/GO_0004733,http://purl.obolibrary.org/obo/GO_0008115,http://purl.obolibrary.org/obo/GO_0016641,http://purl.obolibrary.org/obo/GO_0015002,http://purl.obolibrary.org/obo/GO_0004497,http://purl.obolibrary.org/obo/GO_0045156,http://purl.obolibrary.org/obo/GO_0033739,http://purl.obolibrary.org/obo/GO_0004345,http://purl.obolibrary.org/obo/GO_0008901,http://purl.obolibrary.org/obo/GO_0030058,http://purl.obolibrary.org/obo/GO_0004097,http://purl.obolibrary.org/obo/GO_0009916,http://purl.obolibrary.org/obo/GO_0016702,http://purl.obolibrary.org/obo/GO_0004146,http://purl.obolibrary.org/obo/GO_0017172,http://purl.obolibrary.org/obo/GO_0004665,http://purl.obolibrary.org/obo/GO_0004420,http://purl.obolibrary.org/obo/GO_0004411,http://purl.obolibrary.org/obo/GO_0004748,http://purl.obolibrary.org/obo/GO_0016616,http://purl.obolibrary.org/obo/GO_0016671,http://purl.obolibrary.org/obo/GO_0016625,http://purl.obolibrary.org/obo/GO_0004499,http://purl.obolibrary.org/obo/GO_0008839,http://purl.obolibrary.org/obo/GO_0015035,http://purl.obolibrary.org/obo/GO_0050113,http://purl.obolibrary.org/obo/GO_0043115,http://purl.obolibrary.org/obo/GO_0016651,http://purl.obolibrary.org/obo/GO_0003942,http://purl.obolibrary.org/obo/GO_0004352,http://purl.obolibrary.org/obo/GO_0004174,http://purl.obolibrary.org/obo/GO_0004488,http://purl.obolibrary.org/obo/GO_0008762,http://purl.obolibrary.org/obo/GO_0008924,http://purl.obolibrary.org/obo/GO_0016717,http://purl.obolibrary.org/obo/GO_0004455,http://purl.obolibrary.org/obo/GO_0042279,http://purl.obolibrary.org/obo/GO_0003995,http://purl.obolibrary.org/obo/GO_0008998,http://purl.obolibrary.org/obo/GO_0004601,http://purl.obolibrary.org/obo/GO_0051745,http://purl.obolibrary.org/obo/GO_0016714,http://purl.obolibrary.org/obo/GO_0016901,http://purl.obolibrary.org/obo/GO_0003857,http://purl.obolibrary.org/obo/GO_0016708,http://purl.obolibrary.org/obo/GO_0004471,http://purl.obolibrary.org/obo/GO_0004109,http://purl.obolibrary.org/obo/GO_0004318,http://purl.obolibrary.org/obo/GO_0004602,http://purl.obolibrary.org/obo/GO_0008131,http://purl.obolibrary.org/obo/GO_0003854,http://purl.obolibrary.org/obo/GO_0004764,http://purl.obolibrary.org/obo/GO_0004517,http://purl.obolibrary.org/obo/GO_0045300,http://purl.obolibrary.org/obo/GO_0000334,http://purl.obolibrary.org/obo/GO_0008750,http://purl.obolibrary.org/obo/GO_0016903,http://purl.obolibrary.org/obo/GO_0004800,http://purl.obolibrary.org/obo/GO_0016972,http://purl.obolibrary.org/obo/GO_0003997,http://purl.obolibrary.org/obo/GO_0004096,http://purl.obolibrary.org/obo/GO_0016715,http://purl.obolibrary.org/obo/GO_0010309,http://purl.obolibrary.org/obo/GO_0010277,http://purl.obolibrary.org/obo/GO_0016706,http://purl.obolibrary.org/obo/GO_0030699,http://purl.obolibrary.org/obo/GO_0016645,http://purl.obolibrary.org/obo/GO_0050485,http://purl.obolibrary.org/obo/GO_0080019,http://purl.obolibrary.org/obo/GO_0016705,http://purl.obolibrary.org/obo/GO_0008113,http://purl.obolibrary.org/obo/GO_0018580,http://purl.obolibrary.org/obo/GO_0018492,http://purl.obolibrary.org/obo/GO_0050570,http://purl.obolibrary.org/obo/GO_0008774,http://purl.obolibrary.org/obo/GO_0008137,http://purl.obolibrary.org/obo/GO_0016491,http://purl.obolibrary.org/obo/GO_0045158,http://purl.obolibrary.org/obo/GO_0003954,http://purl.obolibrary.org/obo/GO_0004392,http://purl.obolibrary.org/obo/GO_0008977,http://purl.obolibrary.org/obo/GO_0017150,http://purl.obolibrary.org/obo/GO_0008677,http://purl.obolibrary.org/obo/GO_0016620,http://purl.obolibrary.org/obo/GO_0046429,http://purl.obolibrary.org/obo/GO_0016624,http://purl.obolibrary.org/obo/GO_0004375,http://purl.obolibrary.org/obo/GO_0008883,http://purl.obolibrary.org/obo/GO_0004129,http://purl.obolibrary.org/obo/GO_0004616,http://purl.obolibrary.org/obo/GO_0004367,http://purl.obolibrary.org/obo/GO_0008942,http://purl.obolibrary.org/obo/GO_0008827,http://purl.obolibrary.org/obo/GO_0016655,http://purl.obolibrary.org/obo/GO_0004489,http://purl.obolibrary.org/obo/GO_0009055,http://purl.obolibrary.org/obo/GO_0003842,http://purl.obolibrary.org/obo/GO_0015930,http://purl.obolibrary.org/obo/GO_0051920,http://purl.obolibrary.org/obo/GO_0008703,http://purl.obolibrary.org/obo/GO_0016638,http://purl.obolibrary.org/obo/GO_0016670,http://purl.obolibrary.org/obo/GO_0016627
file:/home/kai/Desktop/grad_school/marmic/master_thesis/kblumberg_masters_thesis/datastore/build_datastore/molecular_function_bathyal.csvMolecularFunction,http://purl.obolibrary.org/obo/GO_0009916,http://purl.obolibrary.org/obo/GO_0016901,http://purl.obolibrary.org/obo/GO_0003842,http://purl.obolibrary.org/obo/GO_0045158,http://purl.obolibrary.org/obo/GO_0051920,http://purl.obolibrary.org/obo/GO_0016702,http://purl.obolibrary.org/obo/GO_0016651,http://purl.obolibrary.org/obo/GO_0008703,http://purl.obolibrary.org/obo/GO_0016625,http://purl.obolibrary.org/obo/GO_0016671,http://purl.obolibrary.org/obo/GO_0016730,http://purl.obolibrary.org/obo/GO_0004392,http://purl.obolibrary.org/obo/GO_0050113,http://purl.obolibrary.org/obo/GO_0016706,http://purl.obolibrary.org/obo/GO_0008113,http://purl.obolibrary.org/obo/GO_0004109,http://purl.obolibrary.org/obo/GO_0008115,http://purl.obolibrary.org/obo/GO_0016624,http://purl.obolibrary.org/obo/GO_0008774,http://purl.obolibrary.org/obo/GO_0008750,http://purl.obolibrary.org/obo/GO_0004733,http://purl.obolibrary.org/obo/GO_0016641,http://purl.obolibrary.org/obo/GO_0080019,http://purl.obolibrary.org/obo/GO_0003885,http://purl.obolibrary.org/obo/GO_0004318,http://purl.obolibrary.org/obo/GO_0046429,http://purl.obolibrary.org/obo/GO_0004146,http://purl.obolibrary.org/obo/GO_0016636,http://purl.obolibrary.org/obo/GO_0008121,http://purl.obolibrary.org/obo/GO_0016627,http://purl.obolibrary.org/obo/GO_0004800,http://purl.obolibrary.org/obo/GO_0016717,http://purl.obolibrary.org/obo/GO_0004367,http://purl.obolibrary.org/obo/GO_0051745,http://purl.obolibrary.org/obo/GO_0016708,http://purl.obolibrary.org/obo/GO_0008839,http://purl.obolibrary.org/obo/GO_0008924,http://purl.obolibrary.org/obo/GO_0008977,http://purl.obolibrary.org/obo/GO_0009055,http://purl.obolibrary.org/obo/GO_0030058,http://purl.obolibrary.org/obo/GO_0016645,http://purl.obolibrary.org/obo/GO_0004517,http://purl.obolibrary.org/obo/GO_0016714,http://purl.obolibrary.org/obo/GO_0018580,http://purl.obolibrary.org/obo/GO_0015930,http://purl.obolibrary.org/obo/GO_0016994,http://purl.obolibrary.org/obo/GO_0015035,http://purl.obolibrary.org/obo/GO_0004764,http://purl.obolibrary.org/obo/GO_0016670,http://purl.obolibrary.org/obo/GO_0008827,http://purl.obolibrary.org/obo/GO_0000334,http://purl.obolibrary.org/obo/GO_0016972,http://purl.obolibrary.org/obo/GO_0004096,http://purl.obolibrary.org/obo/GO_0008762,http://purl.obolibrary.org/obo/GO_0004601,http://purl.obolibrary.org/obo/GO_0004174,http://purl.obolibrary.org/obo/GO_0050570,http://purl.obolibrary.org/obo/GO_0004602,http://purl.obolibrary.org/obo/GO_0016638,http://purl.obolibrary.org/obo/GO_0004411,http://purl.obolibrary.org/obo/GO_0003995,http://purl.obolibrary.org/obo/GO_0003857,http://purl.obolibrary.org/obo/GO_0045156,http://purl.obolibrary.org/obo/GO_0018492,http://purl.obolibrary.org/obo/GO_0045300,http://purl.obolibrary.org/obo/GO_0008883,http://purl.obolibrary.org/obo/GO_0008901,http://purl.obolibrary.org/obo/GO_0010277,http://purl.obolibrary.org/obo/GO_0018576,http://purl.obolibrary.org/obo/GO_0008998,http://purl.obolibrary.org/obo/GO_0033739,http://purl.obolibrary.org/obo/GO_0015002,http://purl.obolibrary.org/obo/GO_0004488,http://purl.obolibrary.org/obo/GO_0010309,http://purl.obolibrary.org/obo/GO_0004375,http://purl.obolibrary.org/obo/GO_0003942,http://purl.obolibrary.org/obo/GO_0004506,http://purl.obolibrary.org/obo/GO_0003954,http://purl.obolibrary.org/obo/GO_0017172,http://purl.obolibrary.org/obo/GO_0008677,http://purl.obolibrary.org/obo/GO_0017150,http://purl.obolibrary.org/obo/GO_0004616,http://purl.obolibrary.org/obo/GO_0004665,http://purl.obolibrary.org/obo/GO_0004420,http://purl.obolibrary.org/obo/GO_0004450,http://purl.obolibrary.org/obo/GO_0004399,http://purl.obolibrary.org/obo/GO_0016715,http://purl.obolibrary.org/obo/GO_0004345,http://purl.obolibrary.org/obo/GO_0016614,http://purl.obolibrary.org/obo/GO_0004748,http://purl.obolibrary.org/obo/GO_0004489,http://purl.obolibrary.org/obo/GO_0016491,http://purl.obolibrary.org/obo/GO_0004833,http://purl.obolibrary.org/obo/GO_0016616,http://purl.obolibrary.org/obo/GO_0004497,http://purl.obolibrary.org/obo/GO_0030699,http://purl.obolibrary.org/obo/GO_0016655,http://purl.obolibrary.org/obo/GO_0042279,http://purl.obolibrary.org/obo/GO_0004352,http://purl.obolibrary.org/obo/GO_0004455,http://purl.obolibrary.org/obo/GO_0003854,http://purl.obolibrary.org/obo/GO_0004097,http://purl.obolibrary.org/obo/GO_0016705,http://purl.obolibrary.org/obo/GO_0004784,http://purl.obolibrary.org/obo/GO_0016903,http://purl.obolibrary.org/obo/GO_0004129,http://purl.obolibrary.org/obo/GO_0016620,http://purl.obolibrary.org/obo/GO_0008942,http://purl.obolibrary.org/obo/GO_0004499,http://purl.obolibrary.org/obo/GO_0003997,http://purl.obolibrary.org/obo/GO_0050485,http://purl.obolibrary.org/obo/GO_0008131,http://purl.obolibrary.org/obo/GO_0033743,http://purl.obolibrary.org/obo/GO_0008137,http://purl.obolibrary.org/obo/GO_0004471,http://purl.obolibrary.org/obo/GO_0043115
