file:/home/kai/Desktop/grad_school/marmic/master_thesis/kblumberg_masters_thesis/datastore/build_datastore/molecular_function_bathyal.csvSample1MolecularFunctionCount,2922,492,0,77,236,1514,1,523,5,193,0,160,31,78,302,353,9,1244,333,0,1915,9,36,63,402,7,51,1113,0,502,90495,10529,0,546,1699,463,2340,0,1528,42,1,16,482,21,896,0,463,1,420,4,4,724,362,12,13109,0,53,95,770,0,140,5,1400,572,327,463,2,32,7776,1,171,44,1036,2092,0,7,16,1,1111,22,1038,136,0,0,173,372,1,2459,487,274,385,688,324,415,90,11445,368,3,3,2639,8190,630,1,608,2085,0,1,2611,125,1052,508,2435,11672,370,7,939,302,3,994,74,0,2271,65,15,804,1,10,1,34,0,3,24,2,32,561,2,947,38,1,31,2645,45,376,0,0,125,1,1,1,33,29,79,35,30,1,26,1414,2785,6,47,28,5,2815,34,81,8,0,21,546,0,32,3,586,321,0,404,10101,0,102,544,55,403,1063,4,0,169,606,0,75,77,0,343,2529,343,8,113,3,1,517,719,3,449,24,260,166,43,2,243,3,2132,0,667,18663,0,1822,0,58,0,52,9411,10462,75,40,374,784,3448,24474,59,3613,492,334,9,104,2,0,1571,145,3910,669,14,102,10066,0,388,3738,691,3,1952,8,6980,2331,6,415,144,1078,4,10,286,2,0,141,2186,4950,231,453,49,754,605,1,194,273,512,0,241,0,933,0,72,2197,1560,243,403,6224,36,283,753,49,652,3,138,27,1,300,0,9,584,774,1883,304,569,247,399,78,480,830,455,26,10,3,2087,4752,0,1721,1,4,16,26,448,125,2,0,932,88,574,1124,10,879,1410,123,595,358,2271,53,299,385,180,1995,11,158,615,723,546,2214,15,990,1,383,2,7,786,9237,52,398,499,73,11854,24,1867,188,0,8,4137,7,111,33,243,6,604,22595,146,577,0,547,1414,1495,27,3458,23,36,0,102,0,20,148,24,75,0,14,120,0,9,4,324,0,3,0,546,1189,233,2440,1013,2,169,11,1389,1994,2531,22,917,313,10744,120,10,199,323,28,396,23,48,148,864,953,2,3,1468,1,1127,521,3,485,158,32,145,78,406,1,285,0,993,0,0,20,1,19035,32180,2,440,10,76,10,1,681,416,2,720,51,7836,1004,7092,231,30,13579,0,887,0,0,84,52,0,1,584,4,68,82,0,88,860,131,473,8980,29,6829,75,326,5965,4,0,439,11,1,2,141,148,0,181,0,459,13,5,3,1877,6,1,17,124,1037,0,244,2,496,134,526,504,637,2374,194,0,9,252,95,401,32,736,2785,3134,617,1,724,3,3090,7638,381,78,10,0,14,652,1,651,4674,3,1449,88,1973,0,180,6765,415,89,782,822,0,976,0,0,533,0,28,1,1,2,724,1,2,4,433,0,619,769,1,2966,0,0,282,3,18,396,23,159,529,177,482,5,11929,0,1,3322,3369,141,327,1,74253,298,1,574,1666,97,17,50,1201,3,4,12265,588,16,119,1,13,1,259,22,9,183,167,15,19,1,69,405,361,0,7,20,2607,440,214,0,408,24,0,360,839,120,61267,101,508,2,232,0,2,6,142,45,29,2,56,74,106,1,837,18024,1,2847,1160,1,444,209,281,6,9,6,20,8,1537,24,381,91,0,7,1176,19645,1569,2521,949,9,432,613,2975,1,416,271,198,8,200,1279,14,4,1,17,673,1837,22,11,0,56,2,44,344,120,197,618,39,3,248,0,121,809,137,16,1527,196,0,581,31,3343,4,294,0,819,1174,0,2,30,23,5805,848,333,750,1,17,8944,27,0,393,5858,27,0,1,32,172,394,88,8,2,448,174,12053,1513,514,731,1423,5,465,273,991,695,184,204,200,135,422,537,601,18,11,1,500,8,132377,0,293,1,2,880,263,858,5,56,7,178,212,20,5,4,0,0,11,0,26827,3,1,135,122,40,14,34,3,115,819,0,755,1409,9,1719,4523,1332,1298,9,853,0,409,731,227,115,2155,170,124,84,14,1,1594,4596,0,1,111,705,130,0,9,4,294,128,4996,14,650,543,148,8,0,337,116,22,2084,885,2,9,264,17,21,3851,212,32,102,708,98,161
file:/home/kai/Desktop/grad_school/marmic/master_thesis/kblumberg_masters_thesis/datastore/build_datastore/molecular_function_bathyal.csvSample2MolecularFunctionCount,3633,527,0,97,262,1580,0,686,8,283,1,167,15,105,406,525,7,1646,437,0,2539,6,25,55,571,2,44,1681,1,689,111284,13537,0,745,2176,544,3165,0,1905,48,0,33,635,19,1037,0,672,0,516,5,4,908,527,3,18288,1,40,112,940,0,238,11,1965,693,475,517,0,30,9805,1,203,33,1281,2653,3,0,7,1,1394,17,1240,154,2,0,245,507,1,2995,516,372,532,888,517,582,75,13827,395,6,4,3635,10300,834,0,727,2617,0,3,3228,168,1298,727,2933,14269,492,2,1081,459,0,1243,46,1,3018,145,17,1002,0,3,0,41,0,4,28,6,50,589,1,1182,53,0,72,3378,46,436,0,0,148,0,0,0,30,63,117,68,2,1,38,1594,3251,4,62,35,3,3444,53,98,5,0,33,671,0,29,5,792,439,0,434,12266,1,130,661,62,521,1313,2,1,205,691,1,86,67,0,486,3348,486,7,169,1,1,643,990,2,472,28,345,223,78,1,296,1,2733,0,820,23025,1,2250,0,103,0,32,11253,13689,85,42,498,1018,4306,29271,83,4326,672,469,6,165,3,0,2081,200,4911,865,10,125,12549,0,454,4555,886,0,2545,11,8565,2997,7,509,190,1249,0,2,394,5,0,149,2859,5790,319,513,72,1020,757,0,272,337,683,0,289,0,1101,2,122,2720,2125,329,556,7825,39,370,979,48,773,7,168,24,0,401,1,11,679,964,2280,333,669,278,503,138,631,1110,571,49,17,1,2492,5335,0,2008,1,10,15,44,616,158,2,0,1136,188,704,1317,15,1217,1909,187,680,437,2855,63,345,532,196,2341,32,212,771,860,711,2618,3,1265,1,452,5,6,1011,11562,83,470,621,66,15221,55,2536,235,0,3,4927,10,167,36,329,7,612,28439,156,721,0,770,1594,1818,39,4190,14,59,0,114,1,8,212,36,90,1,23,160,2,6,6,517,0,4,1,722,1467,313,3199,1224,0,194,13,1701,2661,3123,32,1152,449,12937,200,12,215,428,27,534,32,46,200,866,1139,2,1,1770,1,1399,763,0,661,184,43,191,99,531,1,335,0,1159,0,4,12,1,24139,40068,1,663,28,81,17,1,854,574,4,850,68,10138,1296,8806,324,23,16714,0,1091,1,0,93,80,2,0,757,2,73,110,0,78,1031,129,557,11459,77,9837,50,375,7416,7,2,634,14,4,2,181,124,0,255,0,526,25,7,0,2653,22,0,17,98,1324,0,277,5,514,160,651,637,727,3139,179,1,8,304,105,488,33,1027,3411,3873,816,0,908,10,4007,9518,496,98,11,2,7,784,1,793,5718,2,1711,158,2527,0,198,8470,548,141,997,1025,0,1184,4,0,662,0,45,6,0,1,953,2,0,0,647,0,948,1007,1,3665,0,0,225,0,32,406,21,200,704,237,551,3,15175,0,1,3886,4295,127,519,0,92689,444,3,704,2367,139,16,96,1357,1,2,15579,559,29,136,4,29,3,339,35,13,215,244,23,22,2,92,435,421,1,4,33,3223,517,267,0,508,46,0,473,1157,120,80753,117,580,0,317,1,0,7,202,42,26,0,70,81,197,2,1137,19955,0,3183,1498,1,590,241,362,6,5,2,39,15,2662,28,350,147,1,9,1442,23221,1871,3219,1437,9,779,836,3355,0,445,357,188,1,219,1648,16,5,0,14,741,2312,25,18,0,69,1,21,415,143,268,806,50,0,353,0,160,1026,159,12,2130,270,1,774,43,4476,4,427,1,962,1477,0,0,2,26,7290,1124,383,967,0,41,10100,33,1,423,6987,28,0,0,48,274,456,124,7,3,621,241,14062,1934,626,921,1757,1,557,348,1136,1117,210,269,278,223,536,735,797,13,17,0,633,1,162657,0,334,1,4,1058,341,1129,3,45,10,233,318,8,3,0,0,0,14,0,32992,0,0,159,113,44,23,40,9,135,1081,1,947,1739,5,2123,5727,1648,1838,8,1091,1,573,921,378,170,2506,195,117,133,21,1,1970,5055,0,0,130,828,139,2,6,7,318,157,6214,8,812,680,200,16,0,399,206,33,2482,987,1,23,312,20,21,4858,250,50,107,1027,117,167
file:/home/kai/Desktop/grad_school/marmic/master_thesis/kblumberg_masters_thesis/datastore/build_datastore/molecular_function_abyssal.csvSample1MolecularFunctionCount,1407,104,1518,502,3725,0,708,25,1283,195,345,574,29,10,791,0,958,34,69,1505,24968,63,319,171,1422,4,10129,363,62233,2199,210,426,183,20,46,100,470,159,5525,429,611,1,11154,1607,1552,2,2260,7,172,1584,0,93,132,14,252,92,2,1272,24,16,1473,4,248,76,1420,135,252,15,13,2,11,335,7130,5446,358,4,19544,50,11963,3219,1364,1,1006,3,6,0,4767,29,25,377,67600,1,476,0,237,32,0,2892,1,0,6405,457,839,545,18,4,2832,9,3,500,174,825,23,176,153,981,24,8,470,60,171,0,3605,2,1959,2857,0,430,814,388,603,257,802,801,0,57,924,78,302,29,0,650,78,1869,609,2,3,25,144,114,1854,673,24,0,269,1927,3,2480,125,481,818,0,8,419,4508,556,14,396,14,1,803,714,4,92,0,53,0,12546,100,1849,1,0,2,75,22,2,142,467,392,9794,0,460,3,81,28,4,256,7638,8,3,1186,20,6299,7848,546,92,2683,1934,234,1746,0,0,45,4,3217,382,169,858,10,30,27,689,1,398,505,2,98,2,24,8,2,796,104,618,0,603,1193,72,11,398,48,4,4,1370,730,1,4319,2,50,1,1073,3,3,610,10359,445,0,377,542,391,7,192,28,326,399,39,27,57,926,1393,2,192,13,677,2,175,16,276,450,352,12140,202,515,177,6,26,1187,357,5,33,783,47,1780,2228,1,108,2084,2,209,594,443,2,13,203,1,12,314,1,338,4,1,337,129,1,4,925,31,1709,4,1,62,4,0,362,8902,2239,126,1,0,2,9,52,4,6,1313,1,3,16,1,156,118,1,1157,868,1,496,337,407,4,0,16,214,831,0,1,94,5,5,652,555,825,5,5,3,7899,653,121,19,166,12,922,411,3,265,90,853,548,864,41,217,570,42,135,196,19,103,338,1,1,304,959,402,8055,175,3150,636,394,3,12,0,1,272,2,148,10528,3,137,9,10,746,1891,0,0,180,4,0,1,69,1063,0,1426,1,1165,206,1758,183,3,879,367,12102,150,131,8,3,1518,75,44,5,3333,3,38,26,173,15,84,0,2,6,1,612,0,132,12,8,11,449,22,585,279,15,3,59,841,41,3,32,516,220,1414,1,2453,0,2,3,0,12,2,0,14,150,19,3,124,1,129,380,151,59,1,143,5074,2668,649,0,64,358,0,128,77,30,0,0,32,0,13,1463,25,73,219,122,14796,1,399,1,30,572,465,346,5,1,762,60,3,93,2321,533,826,590,192,290,262,6,12,337,2,3,326,2376,242,498,1075,39,9,432,0,546,331,509,8522,9,486,0,2,3816,71,159,66,1153,14,717,14,556,182,1004,3,3577,580,5,3,341,799,3,1,4,0,2083,11,372,848,79,7,5631,280,564,0,387,84,0,1736,1978,1,294,1,94,1313,1,3,2003,38,30,2659,206,1019,783,0,158,790,2,4,1038,3191,1,45,37,1,4388,107,2,55,18779,351,1,20705,189,18,30,463,1027,106,15,0,383,423,14,2,1,760,14,486,1,5,313,884,36,859,0,2249,2,40,1,137,40,152,2903,2,10110,26,621,88,153,13,0,3,596,28721,6,7161,419,53,2,610,2078,325,5,1,728,504,9,4,46,23,1,285,788,361,10,7,386,114,151,11,355,2129,4,249,23,4,17477,4,4,0,221,668,105,582,2389,401,109,0,20,85,1355,25,304,100,2,509,1165,2930,81,678,9262,418,2,10,54,822,22,2,42,202,366,0,13,299,41,7,1,6369,6681,0,5,299,102,1,504,2536,1,2,824,18,2,1005,536,527,16,56,20,10021,654,0,2618,80492,0,2,8,79,1,0,590,2,250,26,2,677,14376,2109,530,123,143,2057,443,8,1,2,85,2240,1,2629,92,694,199,3,125,1420,1,186,729,18,107,21,152,662,1273,1970,3,16,0,9941,254,1928,127,108,112,3,3,1164,1,433,291,311,478,2206,1,0,71,719,495,162,676,385,0,5,1870,7,0,390,30,417,5,4,0,4,3012,3343,358,472,11,7,498,458,488,30,9,121192,463
file:/home/kai/Desktop/grad_school/marmic/master_thesis/kblumberg_masters_thesis/datastore/build_datastore/molecular_function_abyssal.csvSample2MolecularFunctionCount,1540,101,1643,549,4170,0,872,39,1305,195,413,646,40,9,914,2,1011,31,78,1779,27494,92,364,201,1595,1,11578,536,74025,2602,234,510,249,14,60,151,538,129,6127,484,690,1,12477,1943,1932,2,2303,6,228,1885,0,81,125,20,272,75,0,1315,13,8,1655,4,290,91,1694,141,301,17,8,1,0,369,7299,6228,410,3,19615,34,14321,3679,1532,0,1331,1,6,0,5472,30,20,486,75167,1,528,1,280,29,1,3156,5,0,7333,488,874,469,10,4,3001,2,5,524,182,973,18,213,176,979,17,6,565,74,148,2,4176,0,3286,3297,1,553,845,451,730,334,843,667,0,118,1082,87,311,23,0,832,79,2175,643,2,4,49,158,175,1920,715,24,2,360,2376,3,2675,162,568,926,0,8,436,5086,490,11,459,17,0,846,904,1,104,1,60,2,12844,131,2148,0,0,2,112,15,1,61,482,448,11602,1,428,2,65,37,0,302,8363,2,0,1336,6,6736,8632,565,86,3233,2454,305,1896,1,3,32,0,3476,411,273,875,6,37,38,797,0,476,517,0,92,1,30,4,0,920,88,695,0,654,1290,108,11,459,70,1,1,1379,879,0,4945,0,68,2,1149,1,12,692,11861,585,1,380,600,429,4,265,62,385,440,23,39,78,962,1698,3,208,12,784,1,206,4,415,507,436,14178,256,595,130,3,21,1387,377,7,28,794,40,1853,2464,0,118,2307,1,230,702,454,1,31,205,0,1,324,0,366,2,0,381,115,4,0,1199,29,1986,0,0,57,0,0,343,9980,2304,140,0,2,1,9,51,2,13,1399,1,10,7,0,176,135,0,1365,1030,0,343,458,443,0,0,12,258,896,0,3,87,2,1,684,634,848,4,5,5,9238,751,111,24,186,5,1161,477,1,263,86,916,603,941,46,243,670,46,215,185,5,122,456,0,2,307,1091,447,9065,137,3475,732,463,1,8,0,3,283,0,160,11548,0,144,21,18,948,2109,0,1,187,6,3,0,70,1214,1,1552,0,1469,206,1967,177,1,927,450,13886,199,161,1,0,1831,88,49,7,3866,8,26,31,199,28,77,0,0,1,0,722,0,154,13,12,3,525,29,680,259,15,2,44,944,47,1,26,570,200,1628,0,2746,1,0,1,2,14,0,2,6,174,18,0,128,1,145,403,143,56,0,150,5364,2731,729,0,71,427,1,136,57,32,2,1,27,0,9,1761,19,89,155,108,20179,0,440,4,41,637,405,387,0,0,844,69,3,101,2599,637,817,833,265,302,348,4,13,456,1,0,406,2699,254,569,1446,47,3,550,1,565,354,634,9223,9,494,1,0,4540,113,129,39,1579,38,881,2,508,222,1150,1,4136,563,1,5,449,839,2,0,2,0,2473,9,446,904,105,2,6568,350,706,0,484,112,0,1779,2145,0,325,2,100,1534,0,0,2260,44,22,2989,280,1224,756,0,203,884,1,6,1223,3563,4,48,44,2,4660,126,2,29,21663,388,0,22750,221,22,46,578,1195,154,5,4,525,488,16,13,4,860,9,553,0,0,374,1035,15,929,0,2527,0,32,1,147,50,181,3522,0,11572,22,714,132,186,16,1,1,650,32656,6,8522,507,72,0,710,2623,325,1,0,733,560,18,4,57,35,0,256,885,442,9,7,488,157,151,7,344,2359,5,300,25,0,18889,4,0,0,287,767,118,569,2702,461,101,3,12,78,1488,26,370,100,2,573,1469,3219,80,646,10563,464,0,5,33,1053,21,0,5,259,451,0,8,377,42,16,0,5220,7367,0,4,376,112,0,408,2949,1,0,991,18,0,1115,581,572,16,35,12,11520,623,2,2994,88869,1,6,17,92,5,2,833,2,241,22,6,828,15418,2499,629,122,151,2450,403,5,0,0,78,2569,0,2959,120,835,266,1,150,1762,4,143,914,10,132,12,159,773,1470,2378,5,36,3,10815,300,2150,144,103,129,0,5,1239,2,414,313,343,593,2608,0,1,90,804,593,180,884,474,0,1,2410,3,1,437,30,463,1,3,0,10,3386,3709,392,492,6,17,621,600,508,35,11,139738,495
