Sample 1 Operational Taxonomic Unit Count,Sample 2 Operational Taxonomic Unit Count,Domain,Phylum,Class,Order,Family,Genus
2,4,Bacteria,Chloroflexi,Ardenticatenia,NA,NA_unclassified,NA_unclassified
9,8,Bacteria,Chloroflexi,JG30-KF-CM66,JG30-KF-CM66_unclassified,JG30-KF-CM66_unclassified,JG30-KF-CM66_unclassified
5,1,Bacteria,Chloroflexi,KD4-96,KD4-96_unclassified,KD4-96_unclassified,KD4-96_unclassified
10,2,Bacteria,Chloroflexi,S085,S085_unclassified,S085_unclassified,S085_unclassified
31,26,Bacteria,Chloroflexi,SAR202 clade,SAR202 clade_unclassified,SAR202 clade_unclassified,SAR202 clade_unclassified
8,9,Bacteria,Cyanobacteria,Chloroplast,Chloroplast_unclassified,Chloroplast_unclassified,Chloroplast_unclassified
2,4,Bacteria,Deferribacteres,Deferribacteres Incertae Sedis,Unknown Order,Unknown Family,Caldithrix
0,0,Bacteria,Elusimicrobia,Elusimicrobia,Lineage IIb,Lineage IIb_unclassified,Lineage IIb_unclassified
0,1,Bacteria,Fibrobacteres,Fibrobacteria,Fibrobacterales,Fibrobacteraceae,NA
0,0,Bacteria,Fibrobacteres,Fibrobacteria,possible order 07,possible order 07_unclassified,possible order 07_unclassified
0,0,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales_unclassified,Clostridiales_unclassified
0,0,Bacteria,Firmicutes,Clostridia,Clostridiales,Christensenellaceae,NA
0,0,Bacteria,Firmicutes,Clostridia,Clostridiales,Family XII,Fusibacter
0,2,Bacteria,Gemmatimonadetes,Gemmatimonadetes,Gemmatimonadetes_unclassified,Gemmatimonadetes_unclassified,Gemmatimonadetes_unclassified
9,36,Bacteria,Gemmatimonadetes,Gemmatimonadetes,BD2-11 terrestrial group,BD2-11 terrestrial group_unclassified,BD2-11 terrestrial group_unclassified
13,10,Bacteria,Gemmatimonadetes,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,NA
3,0,Bacteria,Gemmatimonadetes,Gemmatimonadetes,PAUC43f marine benthic group,PAUC43f marine benthic group_unclassified,PAUC43f marine benthic group_unclassified
1,4,Bacteria,Gracilibacteria,Gracilibacteria_unclassified,Gracilibacteria_unclassified,Gracilibacteria_unclassified,Gracilibacteria_unclassified
0,0,Bacteria,Hyd24-12,Hyd24-12_unclassified,Hyd24-12_unclassified,Hyd24-12_unclassified,Hyd24-12_unclassified
6,4,Bacteria,Hydrogenedentes,Hydrogenedentes_unclassified,Hydrogenedentes_unclassified,Hydrogenedentes_unclassified,Hydrogenedentes_unclassified
7,10,Bacteria,Latescibacteria,Latescibacteria_unclassified,Latescibacteria_unclassified,Latescibacteria_unclassified,Latescibacteria_unclassified
1,0,Bacteria,Lentisphaerae,Lentisphaerae_unclassified,Lentisphaerae_unclassified,Lentisphaerae_unclassified,Lentisphaerae_unclassified
1,0,Bacteria,Lentisphaerae,Lentisphaeria,Lentisphaerales,Lentisphaeraceae,Lentisphaera
1,0,Bacteria,Lentisphaerae,Oligosphaeria,Oligosphaeria_unclassified,Oligosphaeria_unclassified,Oligosphaeria_unclassified
0,0,Bacteria,Lentisphaerae,R76-B128,R76-B128_unclassified,R76-B128_unclassified,R76-B128_unclassified
0,0,Bacteria,Lentisphaerae,SS1-B-03-39,SS1-B-03-39_unclassified,SS1-B-03-39_unclassified,SS1-B-03-39_unclassified
0,0,Bacteria,Lentisphaerae,WCHB1-41,WCHB1-41_unclassified,WCHB1-41_unclassified,WCHB1-41_unclassified
11,7,Bacteria,Nitrospirae,Nitrospira,Nitrospirales,Nitrospiraceae,Nitrospira
0,1,Bacteria,Omnitrophica,NPL-UPA2,NPL-UPA2_unclassified,NPL-UPA2_unclassified,NPL-UPA2_unclassified
5,14,Bacteria,Parcubacteria,Parcubacteria_unclassified,Parcubacteria_unclassified,Parcubacteria_unclassified,Parcubacteria_unclassified
2,4,Bacteria,PAUC34f,PAUC34f_unclassified,PAUC34f_unclassified,PAUC34f_unclassified,PAUC34f_unclassified
0,1,Bacteria,Planctomycetes,Planctomycetes_unclassified,Planctomycetes_unclassified,Planctomycetes_unclassified,Planctomycetes_unclassified
2,1,Bacteria,Planctomycetes,BD7-11,BD7-11_unclassified,BD7-11_unclassified,BD7-11_unclassified
14,15,Bacteria,Planctomycetes,OM190,OM190_unclassified,OM190_unclassified,OM190_unclassified
1,4,Bacteria,Planctomycetes,Phycisphaerae,Phycisphaerae_unclassified,Phycisphaerae_unclassified,Phycisphaerae_unclassified
4,5,Bacteria,Planctomycetes,Phycisphaerae,C86,C86_unclassified,C86_unclassified
12,11,Bacteria,Planctomycetes,Phycisphaerae,CCM11a,CCM11a_unclassified,CCM11a_unclassified
1,6,Bacteria,Planctomycetes,Phycisphaerae,mle1-8,mle1-8_unclassified,mle1-8_unclassified
1,0,Bacteria,Planctomycetes,Phycisphaerae,Phycisphaerales,Phycisphaeraceae,Phycisphaeraceae_unclassified
1,2,Bacteria,Planctomycetes,Phycisphaerae,Phycisphaerales,Phycisphaeraceae,SM1A02
2,1,Bacteria,Planctomycetes,Phycisphaerae,Phycisphaerales,Phycisphaeraceae,NA
4,21,Bacteria,Planctomycetes,Phycisphaerae,Phycisphaerales,Phycisphaeraceae,Urania-1B-19 marine sediment group
0,0,Bacteria,Planctomycetes,Phycisphaerae,SHA-43,SHA-43_unclassified,SHA-43_unclassified
5,9,Bacteria,Planctomycetes,Pla3 lineage,Pla3 lineage_unclassified,Pla3 lineage_unclassified,Pla3 lineage_unclassified
2,0,Bacteria,Planctomycetes,Pla4 lineage,Pla4 lineage_unclassified,Pla4 lineage_unclassified,Pla4 lineage_unclassified
3,5,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Planctomycetaceae_unclassified
1,0,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Blastopirellula
3,7,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Pir4 lineage
5,3,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Planctomyces
1,1,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Rhodopirellula
1,1,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,NA
1,4,Bacteria,Planctomycetes,vadinHA49,vadinHA49_unclassified,vadinHA49_unclassified,vadinHA49_unclassified
10,18,Bacteria,Proteobacteria,Proteobacteria_unclassified,Proteobacteria_unclassified,Proteobacteria_unclassified,Proteobacteria_unclassified
14,13,Bacteria,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria_unclassified,Alphaproteobacteria_unclassified,Alphaproteobacteria_unclassified
1,1,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,NA
0,0,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Hyphomonadaceae,Hyphomonas
7,2,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiales_unclassified,Rhizobiales_unclassified
4,0,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,NA
0,0,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylobacteriaceae,Methylobacterium
0,0,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Cohaesibacter
0,0,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Nitratireductor
0,0,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium
2,0,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,NA,NA_unclassified
4,2,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rhodobacteraceae_unclassified
10,10,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NA
3,3,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillales_unclassified,Rhodospirillales_unclassified
6,5,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Rhodospirillaceae_unclassified
8,19,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Defluviicoccus
0,3,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Magnetospira
6,0,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Pelagibius
26,33,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,NA
0,0,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiales_unclassified,Rickettsiales_unclassified
30,4,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiales_unclassified,Rickettsiales_unclassified
0,0,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,NA
0,0,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,TK34,TK34_unclassified
0,0,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadales_unclassified,Sphingomonadales_unclassified
2,3,Bacteria,Proteobacteria,Betaproteobacteria,Betaproteobacteria_unclassified,Betaproteobacteria_unclassified,Betaproteobacteria_unclassified
1,1,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiales_unclassified,Burkholderiales_unclassified
3,3,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderiaceae_unclassified
1,0,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia
2,6,Bacteria,Proteobacteria,Betaproteobacteria,Hydrogenophilales,Hydrogenophilaceae,NA
0,0,Bacteria,Proteobacteria,Betaproteobacteria,Nitrosomonadales,Nitrosomonadales_unclassified,Nitrosomonadales_unclassified
1,0,Bacteria,Proteobacteria,Betaproteobacteria,Nitrosomonadales,Nitrosomonadaceae,Nitrosomonadaceae_unclassified
4,2,Bacteria,Proteobacteria,Betaproteobacteria,Nitrosomonadales,Nitrosomonadaceae,Nitrosomonas
4,7,Bacteria,Proteobacteria,Deltaproteobacteria,Deltaproteobacteria_unclassified,Deltaproteobacteria_unclassified,Deltaproteobacteria_unclassified
1,0,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobacterales_unclassified,Desulfobacterales_unclassified
0,0,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae,Sva0081 sediment group
3,2,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobulbaceae,Desulfobulbaceae_unclassified
0,1,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobulbaceae,Desulfobulbus
9,8,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Nitrospinaceae,Nitrospina
1,2,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfurellales,Desulfurellaceae,NA
0,1,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Desulfuromonadales_unclassified,Desulfuromonadales_unclassified
0,0,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Desulfuromonadaceae,Desulfuromonadaceae_unclassified
0,0,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Geobacteraceae,Geobacteraceae_unclassified
0,1,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Geobacteraceae,Geobacter
3,2,Bacteria,Proteobacteria,Deltaproteobacteria,GR-WP33-30,GR-WP33-30_unclassified,GR-WP33-30_unclassified
1,1,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcales_unclassified,Myxococcales_unclassified
0,0,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Blfdi19,Blfdi19_unclassified
0,6,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Haliangiaceae,Haliangium
1,1,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Nannocystaceae,Nannocystaceae_unclassified
0,1,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Nannocystaceae,Nannocystis
3,1,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,P3OB-42,P3OB-42_unclassified
2,5,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Sandaracinaceae,NA
0,0,Bacteria,Proteobacteria,Deltaproteobacteria,Oligoflexales,Oligoflexaceae,Oligoflexaceae_unclassified
4,15,Bacteria,Proteobacteria,Deltaproteobacteria,SAR324 clade(Marine group B),SAR324 clade(Marine group B)_unclassified,SAR324 clade(Marine group B)_unclassified
75,144,Bacteria,Proteobacteria,Deltaproteobacteria,Sh765B-TzT-29,Sh765B-TzT-29_unclassified,Sh765B-TzT-29_unclassified
0,0,Bacteria,Proteobacteria,Deltaproteobacteria,Sva0485,Sva0485_unclassified,Sva0485_unclassified
34,28,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria_unclassified,Gammaproteobacteria_unclassified,Gammaproteobacteria_unclassified
6,1,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadales_unclassified,Alteromonadales_unclassified
2,0,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Paraglaciecola
0,0,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Colwelliaceae,Colwelliaceae_unclassified
4,2,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Colwelliaceae,Colwellia
1,0,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Moritellaceae,Moritella
0,0,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonadaceae_unclassified
3,2,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella
58,64,Bacteria,Proteobacteria,Gammaproteobacteria,BD7-8 marine group,BD7-8 marine group_unclassified,BD7-8 marine group_unclassified
7,3,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionales_unclassified,Cellvibrionales_unclassified
1,0,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,BD2-7,BD2-7_unclassified
0,0,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,Cellvibrionaceae_unclassified
5,6,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Halieaceae,Halieaceae_unclassified
0,0,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Halieaceae,Haliea
6,9,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Halieaceae,Halioglobus
1,8,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Halieaceae,OM60(NOR5) clade
0,0,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Halieaceae,Pseudohaliea
0,0,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Porticoccaceae,SAR92 clade
2,0,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Spongiibacteraceae,Spongiibacteraceae_unclassified
2,1,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Spongiibacteraceae,BD1-7 clade
0,0,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Chromatiales_unclassified,Chromatiales_unclassified
3,0,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Chromatiaceae,Nitrosococcus
3,0,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Granulosicoccaceae,Granulosicoccus
4,1,Bacteria,Proteobacteria,Gammaproteobacteria,E01-9C-26 marine group,E01-9C-26 marine group_unclassified,E01-9C-26 marine group_unclassified
0,0,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Erwinia
2,1,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Salmonella
7,6,Bacteria,Proteobacteria,Gammaproteobacteria,KI89A clade,KI89A clade_unclassified,KI89A clade_unclassified
0,0,Bacteria,Proteobacteria,Gammaproteobacteria,MD2904-B13,MD2904-B13_unclassified,MD2904-B13_unclassified
1,1,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Alcanivoracaceae,Kangiella
2,1,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,Oceanospirillaceae_unclassified
1,0,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,Neptunomonas
5,9,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,Pseudospirillum
0,0,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,NA
0,1,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Oleiphilaceae,Oleiphilus
4,15,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,OM182 clade,OM182 clade_unclassified
22,23,Bacteria,Proteobacteria,Gammaproteobacteria,Order Incertae Sedis,Family Incertae Sedis,Marinicella
0,0,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Psychrobacter
1,2,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
0,1,Bacteria,Proteobacteria,Gammaproteobacteria,Sva0071,Sva0071_unclassified,Sva0071_unclassified
3,4,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadales_unclassified,Xanthomonadales_unclassified
