sample,http://purl.obolibrary.org/obo/GO_0042597,http://purl.obolibrary.org/obo/GO_0030288
file:/home/kai/Desktop/grad_school/marmic/master_thesis/kblumberg_masters_thesis/datastore/build_datastore/cellular_components_abyssal.csvSample2CellularComponentsCount,2240,1744
file:/home/kai/Desktop/grad_school/marmic/master_thesis/kblumberg_masters_thesis/datastore/build_datastore/cellular_components_abyssal.csvSample1CellularComponentsCount,2358,1802
file:/home/kai/Desktop/grad_school/marmic/master_thesis/kblumberg_masters_thesis/datastore/build_datastore/cellular_components_bathyal.csvSample2CellularComponentsCount,4002,2404
file:/home/kai/Desktop/grad_school/marmic/master_thesis/kblumberg_masters_thesis/datastore/build_datastore/cellular_components_bathyal.csvSample1CellularComponentsCount,3020,1891
file:/home/kai/Desktop/grad_school/marmic/master_thesis/kblumberg_masters_thesis/datastore/build_datastore/cellular_components_neritic.csvSample1CellularComponentsCount,164,2899
file:/home/kai/Desktop/grad_school/marmic/master_thesis/kblumberg_masters_thesis/datastore/build_datastore/cellular_components_neritic.csvSample4CellularComponentsCount,97,1796
file:/home/kai/Desktop/grad_school/marmic/master_thesis/kblumberg_masters_thesis/datastore/build_datastore/cellular_components_neritic.csvSample2CellularComponentsCount,136,1804
file:/home/kai/Desktop/grad_school/marmic/master_thesis/kblumberg_masters_thesis/datastore/build_datastore/cellular_components_neritic.csvSample3CellularComponentsCount,186,3100
